"Step","train/box_loss","train/box_loss__MIN","train/box_loss__MAX"
"450","0.60338","0.60338","0.60338"
"451","0.61053","0.61053","0.61053"
"452","0.61325","0.61325","0.61325"
"453","0.59881","0.59881","0.59881"
"454","0.58251","0.58251","0.58251"
"455","0.58928","0.58928","0.58928"
"456","0.59906","0.59906","0.59906"
"457","0.59054","0.59054","0.59054"
"458","0.59643","0.59643","0.59643"
"459","0.59284","0.59284","0.59284"
"460","0.58208","0.58208","0.58208"
"461","0.59256","0.59256","0.59256"
"462","0.59292","0.59292","0.59292"
"463","0.58345","0.58345","0.58345"
"464","0.59813","0.59813","0.59813"
"465","0.59701","0.59701","0.59701"
"466","0.58251","0.58251","0.58251"
"467","0.56326","0.56326","0.56326"
"468","0.5762","0.5762","0.5762"
"469","0.58112","0.58112","0.58112"
"470","0.58415","0.58415","0.58415"
"471","0.59224","0.59224","0.59224"
"472","0.56663","0.56663","0.56663"
"473","0.57601","0.57601","0.57601"
"474","0.56312","0.56312","0.56312"
"475","0.56522","0.56522","0.56522"
"476","0.56532","0.56532","0.56532"
"477","0.55744","0.55744","0.55744"
"478","0.56931","0.56931","0.56931"
"479","0.56005","0.56005","0.56005"
"480","0.56558","0.56558","0.56558"
"481","0.56393","0.56393","0.56393"
"482","0.55218","0.55218","0.55218"
"483","0.56286","0.56286","0.56286"
"484","0.54262","0.54262","0.54262"
"485","0.54662","0.54662","0.54662"
"486","0.55761","0.55761","0.55761"
"487","0.55643","0.55643","0.55643"
"488","0.5521","0.5521","0.5521"
"489","0.53843","0.53843","0.53843"
"490","0.54183","0.54183","0.54183"
"491","0.50113","0.50113","0.50113"
"492","0.47641","0.47641","0.47641"
"493","0.48664","0.48664","0.48664"
"494","0.45114","0.45114","0.45114"
"495","0.4676","0.4676","0.4676"
"496","0.45385","0.45385","0.45385"
"497","0.44722","0.44722","0.44722"
"498","0.45371","0.45371","0.45371"
"499","0.44401","0.44401","0.44401"
"500","0.45241","0.45241","0.45241"
