"Step","05072025_yolov11n_histEQ - train/box_loss","05072025_yolov11n_histEQ - train/box_loss__MIN","05072025_yolov11n_histEQ - train/box_loss__MAX","05072025_yolov11s_histEQ2 - train/box_loss","05072025_yolov11s_histEQ2 - train/box_loss__MIN","05072025_yolov11s_histEQ2 - train/box_loss__MAX","05072025_yolov11l_histEQ3 - train/box_loss","05072025_yolov11l_histEQ3 - train/box_loss__MIN","05072025_yolov11l_histEQ3 - train/box_loss__MAX","04072025_yolov11m_histEQ - train/box_loss","04072025_yolov11m_histEQ - train/box_loss__MIN","04072025_yolov11m_histEQ - train/box_loss__MAX"
"143","0.7165","0.7165","0.7165","0.81005","0.81005","0.81005","0.8861","0.8861","0.8861","0.91397","0.91397","0.91397"
"144","0.73308","0.73308","0.73308","0.83488","0.83488","0.83488","0.9057","0.9057","0.9057","0.89196","0.89196","0.89196"
"145","0.71535","0.71535","0.71535","0.82149","0.82149","0.82149","0.93088","0.93088","0.93088","0.8654","0.8654","0.8654"
"146","0.70818","0.70818","0.70818","0.80991","0.80991","0.80991","0.93626","0.93626","0.93626","0.89902","0.89902","0.89902"
"147","0.70655","0.70655","0.70655","0.82549","0.82549","0.82549","0.95134","0.95134","0.95134","0.92601","0.92601","0.92601"
"148","0.71787","0.71787","0.71787","0.83595","0.83595","0.83595","0.90342","0.90342","0.90342","0.87779","0.87779","0.87779"
"149","0.71601","0.71601","0.71601","0.81227","0.81227","0.81227","0.88311","0.88311","0.88311","0.88064","0.88064","0.88064"
"150","0.7038","0.7038","0.7038","0.82537","0.82537","0.82537","0.89883","0.89883","0.89883","0.85458","0.85458","0.85458"
"151","0.69647","0.69647","0.69647","0.79478","0.79478","0.79478","0.90638","0.90638","0.90638","0.88902","0.88902","0.88902"
"152","0.72455","0.72455","0.72455","0.82226","0.82226","0.82226","0.90402","0.90402","0.90402","0.90911","0.90911","0.90911"
"153","0.70867","0.70867","0.70867","0.82212","0.82212","0.82212","0.8999","0.8999","0.8999","0.86536","0.86536","0.86536"
"154","0.73579","0.73579","0.73579","0.82639","0.82639","0.82639","0.92987","0.92987","0.92987","0.8666","0.8666","0.8666"
"155","0.72139","0.72139","0.72139","0.83692","0.83692","0.83692","0.8973","0.8973","0.8973","0.89411","0.89411","0.89411"
"156","0.71489","0.71489","0.71489","0.80526","0.80526","0.80526","0.88953","0.88953","0.88953","0.89148","0.89148","0.89148"
"157","0.70761","0.70761","0.70761","0.82931","0.82931","0.82931","0.92589","0.92589","0.92589","0.83461","0.83461","0.83461"
"158","0.71685","0.71685","0.71685","0.83478","0.83478","0.83478","0.90941","0.90941","0.90941","0.88395","0.88395","0.88395"
"159","0.67674","0.67674","0.67674","0.80229","0.80229","0.80229","0.89668","0.89668","0.89668","0.93228","0.93228","0.93228"
"160","0.69242","0.69242","0.69242","0.81947","0.81947","0.81947","0.90469","0.90469","0.90469","0.88956","0.88956","0.88956"
"161","0.69513","0.69513","0.69513","0.81411","0.81411","0.81411","0.88351","0.88351","0.88351","0.89566","0.89566","0.89566"
"162","0.70732","0.70732","0.70732","0.79355","0.79355","0.79355","0.87782","0.87782","0.87782","0.85628","0.85628","0.85628"
"163","0.71972","0.71972","0.71972","0.79769","0.79769","0.79769","0.91348","0.91348","0.91348","0.8687","0.8687","0.8687"
"164","0.69143","0.69143","0.69143","0.78406","0.78406","0.78406","0.86396","0.86396","0.86396","0.86387","0.86387","0.86387"
"165","0.70997","0.70997","0.70997","0.822","0.822","0.822","0.8964","0.8964","0.8964","0.89639","0.89639","0.89639"
"166","0.67743","0.67743","0.67743","0.78591","0.78591","0.78591","0.87303","0.87303","0.87303","0.89224","0.89224","0.89224"
"167","0.72315","0.72315","0.72315","0.79387","0.79387","0.79387","0.87235","0.87235","0.87235","0.86311","0.86311","0.86311"
"168","0.69234","0.69234","0.69234","0.78128","0.78128","0.78128","0.8951","0.8951","0.8951","0.85768","0.85768","0.85768"
"169","0.69095","0.69095","0.69095","0.78674","0.78674","0.78674","0.87315","0.87315","0.87315","0.87951","0.87951","0.87951"
"170","0.70644","0.70644","0.70644","0.80601","0.80601","0.80601","0.89659","0.89659","0.89659","0.85514","0.85514","0.85514"
"171","0.72404","0.72404","0.72404","0.79778","0.79778","0.79778","0.90531","0.90531","0.90531","0.84587","0.84587","0.84587"
"172","0.69959","0.69959","0.69959","0.79142","0.79142","0.79142","0.90077","0.90077","0.90077","0.8257","0.8257","0.8257"
"173","0.70762","0.70762","0.70762","0.77842","0.77842","0.77842","0.90412","0.90412","0.90412","0.88819","0.88819","0.88819"
"174","0.69485","0.69485","0.69485","0.78054","0.78054","0.78054","0.87554","0.87554","0.87554","0.86087","0.86087","0.86087"
"175","0.69768","0.69768","0.69768","0.7885","0.7885","0.7885","0.90303","0.90303","0.90303","0.83983","0.83983","0.83983"
"176","0.69289","0.69289","0.69289","0.77838","0.77838","0.77838","0.90136","0.90136","0.90136","0.86581","0.86581","0.86581"
