"Step","05072025_yolov11n_histEQ - train/cls_loss","05072025_yolov11n_histEQ - train/cls_loss__MIN","05072025_yolov11n_histEQ - train/cls_loss__MAX","05072025_yolov11s_histEQ2 - train/cls_loss","05072025_yolov11s_histEQ2 - train/cls_loss__MIN","05072025_yolov11s_histEQ2 - train/cls_loss__MAX","05072025_yolov11l_histEQ3 - train/cls_loss","05072025_yolov11l_histEQ3 - train/cls_loss__MIN","05072025_yolov11l_histEQ3 - train/cls_loss__MAX","04072025_yolov11m_histEQ - train/cls_loss","04072025_yolov11m_histEQ - train/cls_loss__MIN","04072025_yolov11m_histEQ - train/cls_loss__MAX"
"129","0.50457","0.50457","0.50457","0.55324","0.55324","0.55324","0.63221","0.63221","0.63221","0.62036","0.62036","0.62036"
"130","0.49188","0.49188","0.49188","0.55589","0.55589","0.55589","0.6333","0.6333","0.6333","0.58113","0.58113","0.58113"
"131","0.48536","0.48536","0.48536","0.54934","0.54934","0.54934","0.6378","0.6378","0.6378","0.58468","0.58468","0.58468"
"132","0.47375","0.47375","0.47375","0.55261","0.55261","0.55261","0.63414","0.63414","0.63414","0.57805","0.57805","0.57805"
"133","0.49035","0.49035","0.49035","0.55521","0.55521","0.55521","0.61055","0.61055","0.61055","0.56822","0.56822","0.56822"
"134","0.49145","0.49145","0.49145","0.54958","0.54958","0.54958","0.62717","0.62717","0.62717","0.58733","0.58733","0.58733"
"135","0.49408","0.49408","0.49408","0.56534","0.56534","0.56534","0.61402","0.61402","0.61402","0.6139","0.6139","0.6139"
"136","0.48681","0.48681","0.48681","0.56702","0.56702","0.56702","0.6282","0.6282","0.6282","0.57616","0.57616","0.57616"
"137","0.47234","0.47234","0.47234","0.53939","0.53939","0.53939","0.59859","0.59859","0.59859","0.60303","0.60303","0.60303"
"138","0.48417","0.48417","0.48417","0.54834","0.54834","0.54834","0.6165","0.6165","0.6165","0.57119","0.57119","0.57119"
"139","0.48434","0.48434","0.48434","0.56038","0.56038","0.56038","0.62747","0.62747","0.62747","0.5685","0.5685","0.5685"
"140","0.46714","0.46714","0.46714","0.52047","0.52047","0.52047","0.62228","0.62228","0.62228","0.61572","0.61572","0.61572"
"141","0.47931","0.47931","0.47931","0.54544","0.54544","0.54544","0.63522","0.63522","0.63522","0.62547","0.62547","0.62547"
"142","0.48039","0.48039","0.48039","0.53113","0.53113","0.53113","0.61095","0.61095","0.61095","0.60462","0.60462","0.60462"
"143","0.48169","0.48169","0.48169","0.5402","0.5402","0.5402","0.60876","0.60876","0.60876","0.58634","0.58634","0.58634"
"144","0.48819","0.48819","0.48819","0.5604","0.5604","0.5604","0.6064","0.6064","0.6064","0.57648","0.57648","0.57648"
"145","0.48761","0.48761","0.48761","0.56301","0.56301","0.56301","0.61689","0.61689","0.61689","0.56263","0.56263","0.56263"
"146","0.46862","0.46862","0.46862","0.53576","0.53576","0.53576","0.60807","0.60807","0.60807","0.59264","0.59264","0.59264"
"147","0.45915","0.45915","0.45915","0.54987","0.54987","0.54987","0.60003","0.60003","0.60003","0.62139","0.62139","0.62139"
"148","0.47469","0.47469","0.47469","0.54585","0.54585","0.54585","0.62399","0.62399","0.62399","0.58998","0.58998","0.58998"
"149","0.46609","0.46609","0.46609","0.53113","0.53113","0.53113","0.58288","0.58288","0.58288","0.59774","0.59774","0.59774"
"150","0.46675","0.46675","0.46675","0.52649","0.52649","0.52649","0.59603","0.59603","0.59603","0.57853","0.57853","0.57853"
"151","0.46657","0.46657","0.46657","0.52532","0.52532","0.52532","0.60153","0.60153","0.60153","0.56631","0.56631","0.56631"
"152","0.47775","0.47775","0.47775","0.5413","0.5413","0.5413","0.61254","0.61254","0.61254","0.58519","0.58519","0.58519"
"153","0.47805","0.47805","0.47805","0.54357","0.54357","0.54357","0.58978","0.58978","0.58978","0.56226","0.56226","0.56226"
"154","0.48425","0.48425","0.48425","0.55242","0.55242","0.55242","0.62177","0.62177","0.62177","0.59079","0.59079","0.59079"
"155","0.48293","0.48293","0.48293","0.55171","0.55171","0.55171","0.60259","0.60259","0.60259","0.58525","0.58525","0.58525"
"156","0.4446","0.4446","0.4446","0.53757","0.53757","0.53757","0.58099","0.58099","0.58099","0.59585","0.59585","0.59585"
"157","0.45815","0.45815","0.45815","0.53573","0.53573","0.53573","0.61064","0.61064","0.61064","0.5469","0.5469","0.5469"
"158","0.47443","0.47443","0.47443","0.56306","0.56306","0.56306","0.58441","0.58441","0.58441","0.56835","0.56835","0.56835"
"159","0.44748","0.44748","0.44748","0.53213","0.53213","0.53213","0.58048","0.58048","0.58048","0.58978","0.58978","0.58978"
"160","0.45176","0.45176","0.45176","0.53338","0.53338","0.53338","0.58924","0.58924","0.58924","0.55853","0.55853","0.55853"
"161","0.45053","0.45053","0.45053","0.52917","0.52917","0.52917","0.60002","0.60002","0.60002","0.58326","0.58326","0.58326"
"162","0.45609","0.45609","0.45609","0.51625","0.51625","0.51625","0.58333","0.58333","0.58333","0.56614","0.56614","0.56614"
"163","0.45841","0.45841","0.45841","0.51745","0.51745","0.51745","0.58734","0.58734","0.58734","0.56397","0.56397","0.56397"
"164","0.46124","0.46124","0.46124","0.52295","0.52295","0.52295","0.58532","0.58532","0.58532","0.56276","0.56276","0.56276"
