"Step","05072025_yolov11n_histEQ - train/dfl_loss","05072025_yolov11n_histEQ - train/dfl_loss__MIN","05072025_yolov11n_histEQ - train/dfl_loss__MAX","05072025_yolov11s_histEQ2 - train/dfl_loss","05072025_yolov11s_histEQ2 - train/dfl_loss__MIN","05072025_yolov11s_histEQ2 - train/dfl_loss__MAX","05072025_yolov11l_histEQ3 - train/dfl_loss","05072025_yolov11l_histEQ3 - train/dfl_loss__MIN","05072025_yolov11l_histEQ3 - train/dfl_loss__MAX","04072025_yolov11m_histEQ - train/dfl_loss","04072025_yolov11m_histEQ - train/dfl_loss__MIN","04072025_yolov11m_histEQ - train/dfl_loss__MAX"
"150","1.25742","1.25742","1.25742","1.43563","1.43563","1.43563","1.50137","1.50137","1.50137","1.48829","1.48829","1.48829"
"151","1.25835","1.25835","1.25835","1.40906","1.40906","1.40906","1.51707","1.51707","1.51707","1.50329","1.50329","1.50329"
"152","1.29253","1.29253","1.29253","1.45812","1.45812","1.45812","1.528","1.528","1.528","1.5112","1.5112","1.5112"
"153","1.25681","1.25681","1.25681","1.41671","1.41671","1.41671","1.488","1.488","1.488","1.47506","1.47506","1.47506"
"154","1.30384","1.30384","1.30384","1.46882","1.46882","1.46882","1.53673","1.53673","1.53673","1.4832","1.4832","1.4832"
"155","1.28205","1.28205","1.28205","1.44607","1.44607","1.44607","1.50858","1.50858","1.50858","1.50973","1.50973","1.50973"
"156","1.27814","1.27814","1.27814","1.44145","1.44145","1.44145","1.49108","1.49108","1.49108","1.50998","1.50998","1.50998"
"157","1.26976","1.26976","1.26976","1.43832","1.43832","1.43832","1.5287","1.5287","1.5287","1.45031","1.45031","1.45031"
"158","1.2886","1.2886","1.2886","1.46929","1.46929","1.46929","1.51967","1.51967","1.51967","1.5056","1.5056","1.5056"
"159","1.25309","1.25309","1.25309","1.42461","1.42461","1.42461","1.5059","1.5059","1.5059","1.55764","1.55764","1.55764"
"160","1.25742","1.25742","1.25742","1.4253","1.4253","1.4253","1.50882","1.50882","1.50882","1.49539","1.49539","1.49539"
"161","1.25596","1.25596","1.25596","1.41549","1.41549","1.41549","1.49073","1.49073","1.49073","1.52125","1.52125","1.52125"
"162","1.27524","1.27524","1.27524","1.42003","1.42003","1.42003","1.49744","1.49744","1.49744","1.46429","1.46429","1.46429"
"163","1.28167","1.28167","1.28167","1.41102","1.41102","1.41102","1.50585","1.50585","1.50585","1.5022","1.5022","1.5022"
"164","1.27117","1.27117","1.27117","1.41474","1.41474","1.41474","1.50213","1.50213","1.50213","1.45231","1.45231","1.45231"
"165","1.27294","1.27294","1.27294","1.43623","1.43623","1.43623","1.49497","1.49497","1.49497","1.48842","1.48842","1.48842"
"166","1.24923","1.24923","1.24923","1.40528","1.40528","1.40528","1.48746","1.48746","1.48746","1.51449","1.51449","1.51449"
"167","1.29031","1.29031","1.29031","1.41927","1.41927","1.41927","1.48734","1.48734","1.48734","1.49991","1.49991","1.49991"
"168","1.25324","1.25324","1.25324","1.39867","1.39867","1.39867","1.52578","1.52578","1.52578","1.45504","1.45504","1.45504"
"169","1.27831","1.27831","1.27831","1.41678","1.41678","1.41678","1.49631","1.49631","1.49631","1.46745","1.46745","1.46745"
"170","1.28018","1.28018","1.28018","1.42803","1.42803","1.42803","1.49498","1.49498","1.49498","1.48883","1.48883","1.48883"
"171","1.28255","1.28255","1.28255","1.42838","1.42838","1.42838","1.54218","1.54218","1.54218","1.46036","1.46036","1.46036"
"172","1.27028","1.27028","1.27028","1.41325","1.41325","1.41325","1.51699","1.51699","1.51699","1.43037","1.43037","1.43037"
"173","1.27048","1.27048","1.27048","1.39588","1.39588","1.39588","1.51214","1.51214","1.51214","1.49702","1.49702","1.49702"
"174","1.26243","1.26243","1.26243","1.38884","1.38884","1.38884","1.47004","1.47004","1.47004","1.48533","1.48533","1.48533"
"175","1.26565","1.26565","1.26565","1.39028","1.39028","1.39028","1.49512","1.49512","1.49512","1.47347","1.47347","1.47347"
"176","1.2774","1.2774","1.2774","1.41646","1.41646","1.41646","1.51943","1.51943","1.51943","1.47179","1.47179","1.47179"
"177","1.26819","1.26819","1.26819","1.41863","1.41863","1.41863","1.5237","1.5237","1.5237","1.42355","1.42355","1.42355"
"178","1.25794","1.25794","1.25794","1.40854","1.40854","1.40854","1.55607","1.55607","1.55607","1.4548","1.4548","1.4548"
"179","1.25682","1.25682","1.25682","1.40137","1.40137","1.40137","1.5118","1.5118","1.5118","1.48791","1.48791","1.48791"
"180","1.25551","1.25551","1.25551","1.38396","1.38396","1.38396","1.49324","1.49324","1.49324","1.50445","1.50445","1.50445"
"181","1.27137","1.27137","1.27137","1.4115","1.4115","1.4115","1.50992","1.50992","1.50992","1.47857","1.47857","1.47857"
"182","1.28587","1.28587","1.28587","1.43823","1.43823","1.43823","1.48168","1.48168","1.48168","1.45912","1.45912","1.45912"
"183","1.25765","1.25765","1.25765","1.4096","1.4096","1.4096","1.47019","1.47019","1.47019","1.44349","1.44349","1.44349"
"184","1.26391","1.26391","1.26391","1.40034","1.40034","1.40034","1.49427","1.49427","1.49427","1.43151","1.43151","1.43151"
"185","1.251","1.251","1.251","1.39045","1.39045","1.39045","1.44831","1.44831","1.44831","1.41491","1.41491","1.41491"
"186","1.26549","1.26549","1.26549","1.40277","1.40277","1.40277","1.46957","1.46957","1.46957","1.43754","1.43754","1.43754"
"187","1.2548","1.2548","1.2548","1.39431","1.39431","1.39431","1.45706","1.45706","1.45706","1.47771","1.47771","1.47771"
"188","1.28794","1.28794","1.28794","1.42444","1.42444","1.42444","1.46096","1.46096","1.46096","1.4279","1.4279","1.4279"
"189","1.23534","1.23534","1.23534","1.38138","1.38138","1.38138","1.44827","1.44827","1.44827","1.47383","1.47383","1.47383"
"190","1.26597","1.26597","1.26597","1.42186","1.42186","1.42186","1.49478","1.49478","1.49478","1.44279","1.44279","1.44279"
"191","1.26012","1.26012","1.26012","1.39765","1.39765","1.39765","1.46069","1.46069","1.46069","1.45403","1.45403","1.45403"
